Entry_Datetime,Future_Traded_Price,ATM,Days_to_Expiry,CE_Symbol,CE_Entry_Price,CE_Exit_Price,CE_Exit_Datetime,PE_Symbol,PE_Entry_Price,PE_Exit_Price,PE_Exit_Datetime,PnL
2019-04-08 09:20:00,30329.4,30300,3,BANKNIFTY11APR1930300CE.NFO,159.65,64.6,2019-04-08 15:10:00,BANKNIFTY11APR1930300PE.NFO,271.65,325.97999999999996,2019-04-08 13:02:00,40.72000000000003
2019-04-09 09:20:00,29965.0,30000,2,BANKNIFTY11APR1930000CE.NFO,116.05,139.26,2019-04-09 09:49:00,BANKNIFTY11APR1930000PE.NFO,291.05,113.4,2019-04-09 15:10:00,154.44
2019-04-10 09:20:00,30253.65,30300,1,BANKNIFTY11APR1930300CE.NFO,95.8,15.9,2019-04-10 15:10:00,BANKNIFTY11APR1930300PE.NFO,273.15,327.78,2019-04-10 13:29:00,25.269999999999996
2019-04-11 09:20:00,29930.0,29900,0,BANKNIFTY11APR1929900CE.NFO,44.4,0.2,2019-04-11 15:10:00,BANKNIFTY11APR1929900PE.NFO,154.7,185.64,2019-04-11 10:00:00,13.259999999999998
2019-04-12 09:20:00,29946.4,30000,6,BANKNIFTY18APR1930000CE.NFO,181.8,218.16000000000003,2019-04-12 14:17:00,BANKNIFTY18APR1930000PE.NFO,304.8,199.0,2019-04-12 15:10:00,69.44
2019-04-15 09:20:00,30108.65,30100,3,BANKNIFTY18APR1930100CE.NFO,157.5,189.0,2019-04-15 10:16:00,BANKNIFTY18APR1930100PE.NFO,220.2,144.55,2019-04-15 15:10:00,44.14999999999998
2019-04-16 09:20:00,30356.75,30300,2,BANKNIFTY18APR1930300CE.NFO,128.25,153.9,2019-04-16 09:51:00,BANKNIFTY18APR1930300PE.NFO,140.4,37.95,2019-04-16 15:10:00,76.8
2019-04-18 09:20:00,30647.0,30600,0,BANKNIFTY18APR1930600CE.NFO,81.0,0.1,2019-04-18 15:10:00,BANKNIFTY18APR1930600PE.NFO,69.5,83.4,2019-04-18 09:33:00,67.0
2019-04-22 09:20:00,29970.0,30000,3,BANKNIFTY25APR1930000CE.NFO,209.0,105.55,2019-04-22 15:10:00,BANKNIFTY25APR1930000PE.NFO,240.7,288.84,2019-04-22 14:29:00,55.31000000000002
2019-04-23 09:20:00,29887.6,29900,2,BANKNIFTY25APR1929900CE.NFO,182.45,46.25,2019-04-23 15:10:00,BANKNIFTY25APR1929900PE.NFO,190.25,228.3,2019-04-23 09:52:00,98.14999999999998
2019-04-24 09:20:00,29627.75,29600,1,BANKNIFTY25APR1929600CE.NFO,156.5,187.8,2019-04-24 14:31:00,BANKNIFTY25APR1929600PE.NFO,134.05,160.86,2019-04-24 09:26:00,-58.110000000000014
2019-04-25 09:20:00,29930.05,29900,0,BANKNIFTY25APR1929900CE.NFO,96.8,116.16,2019-04-25 09:30:00,BANKNIFTY25APR1929900PE.NFO,69.65,83.58000000000001,2019-04-25 12:39:00,-33.290000000000006
2019-04-26 09:20:00,29828.3,29800,6,BANKNIFTY02MAY1929800CE.NFO,160.0,192.0,2019-04-26 13:57:00,BANKNIFTY02MAY1929800PE.NFO,251.9,302.28000000000003,2019-04-26 10:36:00,-82.38000000000002
2019-04-30 09:20:00,29989.0,30000,2,BANKNIFTY02MAY1930000CE.NFO,100.75,51.9,2019-04-30 15:10:00,BANKNIFTY02MAY1930000PE.NFO,239.85,287.82,2019-04-30 09:41:00,0.8800000000000026
2019-05-02 09:20:00,29796.05,29800,0,BANKNIFTY02MAY1929800CE.NFO,58.45,70.14,2019-05-02 09:40:00,BANKNIFTY02MAY1929800PE.NFO,145.75,85.75,2019-05-02 15:10:00,48.31
2019-05-03 09:20:00,29931.2,29900,6,BANKNIFTY09MAY1929900CE.NFO,217.0,260.4,2019-05-03 10:15:00,BANKNIFTY09MAY1929900PE.NFO,262.0,187.45,2019-05-03 15:10:00,31.150000000000034
